Date,Time,No.of Total Input,No.of Total Output,AHT (s),Avg. Mod. Latency (s),Avg. QA Latency (s),Moderator number
2/1/2022,0:00,2288,2288,20.84,24.46,99.44,50
2/1/2022,1:00,2225,2238,20.96,25.85,105.05,42
2/1/2022,2:00,1940,1929,21.1,24.64,98.39,40
2/1/2022,3:00,1686,1691,20.71,30.44,102.05,26
2/1/2022,4:00,1413,1415,20.31,35.04,125.21,19
2/1/2022,5:00,990,992,20.77,25.46,101.83,19
2/1/2022,6:00,677,681,20.53,23.04,83.68,19
2/1/2022,7:00,583,584,20.32,22.96,84.09,21
2/1/2022,8:00,617,614,20.59,22.25,100.29,33
2/1/2022,9:00,886,884,19.74,24.71,89.07,15
2/1/2022,10:00,1143,1141,19.74,25.98,93.53,16
2/1/2022,11:00,1469,1461,20.41,26.95,104.71,18
2/1/2022,12:00,1712,1713,19.96,31.71,128.5,19
2/1/2022,13:00,1837,1835,20.59,30.15,118.94,19
2/1/2022,14:00,1809,1816,20.28,30.66,115.65,25
2/1/2022,15:00,1896,1897,20.07,23.07,95.82,35
2/1/2022,16:00,1939,1932,20.74,23.52,99.75,35
2/1/2022,17:00,2036,2034,19.37,27.77,113.33,26
2/1/2022,18:00,1866,1867,20.16,25.03,108.42,42
2/1/2022,19:00,1945,1946,20.31,23.38,101.53,43
2/1/2022,20:00,2057,2064,20.35,23.92,109.9,41
2/1/2022,21:00,2212,2199,19.97,23.73,85.33,38
2/1/2022,22:00,2316,2325,19.56,24.35,104.91,37
2/1/2022,23:00,2415,2396,19.63,24.03,97.05,43
2/2/2022,0:00,2466,2489,20.18,23.58,98.12,50
2/2/2022,1:00,2406,2393,20.07,24.11,99.76,40
2/2/2022,2:00,2131,2141,20.37,24.65,98.31,40
2/2/2022,3:00,1812,1801,19.75,32.55,149.93,31
2/2/2022,4:00,1529,1539,19.97,51.87,143.75,17
2/2/2022,5:00,1110,1122,19.52,32.59,105.83,17
2/2/2022,6:00,673,675,20.68,23.77,95.64,16
2/2/2022,7:00,535,532,21.05,23.82,119.13,21
2/2/2022,8:00,614,617,20.22,22.98,107.36,32
2/2/2022,9:00,933,927,19.03,22.45,100.27,16
2/2/2022,10:00,1192,1191,19.34,25.08,111.11,18
2/2/2022,11:00,1519,1518,19.82,23.81,103.18,22
2/2/2022,12:00,1630,1588,20.19,50.14,159.78,24
2/2/2022,13:00,1908,1944,19.74,39.99,153.86,20
2/2/2022,14:00,1978,1963,19.55,30.75,120.94,31
2/2/2022,15:00,2114,2127,19.91,24.66,102.36,37
2/2/2022,16:00,2047,2042,20.39,24.64,109.83,38
2/2/2022,17:00,1976,1979,20.84,29.38,125.29,28
2/2/2022,18:00,1819,1821,20.94,25.18,109.32,42
2/2/2022,19:00,1938,1935,21.83,25.15,97.07,41
2/2/2022,20:00,2194,2189,20.99,25.43,110.5,40
2/2/2022,21:00,2157,2160,20.72,23.92,90.67,37
2/2/2022,22:00,2292,2293,20.51,25.9,106.32,37
2/2/2022,23:00,2318,2319,20.66,25.2,110.76,43
2/3/2022,0:00,2384,2382,20.77,25.39,94.7,47
2/3/2022,1:00,2364,2367,20.32,25.66,108.89,33
2/3/2022,2:00,2180,2190,19.8,23.83,90.59,33
2/3/2022,3:00,1760,1660,19.49,160.97,498.7,22
2/3/2022,4:00,1398,1380,19.81,301.48,570.78,14
2/3/2022,5:00,1145,1266,20.24,264.67,566.79,14
2/3/2022,6:00,845,852,21.75,30.47,120.52,13
2/3/2022,7:00,587,582,20.31,23.64,97.91,18
2/3/2022,8:00,578,581,20.4,21.98,84.38,29
2/3/2022,9:00,894,893,19.6,23.5,110.7,15
2/3/2022,10:00,1229,1214,19.45,24.78,101.76,19
2/3/2022,11:00,1440,1447,19.68,23.82,122.4,23
2/3/2022,12:00,1701,1688,19.56,29.12,102.67,23
2/3/2022,13:00,1803,1806,20.25,26.93,108.06,23
2/3/2022,14:00,1935,1944,20.16,29.52,110.05,33
2/3/2022,15:00,1944,1944,20.55,23.2,91.5,42
2/3/2022,16:00,2167,2168,20.74,23.4,104,42
2/3/2022,17:00,2103,2092,19.75,26.62,102.21,34
2/3/2022,18:00,1787,1796,20.02,23.92,99.94,48
2/3/2022,19:00,1232,1225,20.52,23.61,101.09,47
2/3/2022,20:00,1806,1800,21.04,25.85,109.46,41
2/3/2022,21:00,2110,2120,21.15,24.49,98.95,38
2/3/2022,22:00,2232,2226,19.94,24.98,103.74,39
2/3/2022,23:00,2260,2265,21.5,25.15,105.57,44
2/4/2022,0:00,2407,2407,20.51,24.2,111.26,48
2/4/2022,1:00,2278,2283,20.02,23.54,98,38
2/4/2022,2:00,1971,1967,20.35,24.07,93.25,39
2/4/2022,3:00,1609,1610,19.96,33.4,123.13,29
2/4/2022,4:00,1376,1373,20.25,39.42,139.85,16
2/4/2022,5:00,1069,1081,20.48,39.83,122.21,16
2/4/2022,6:00,762,767,20.5,23.62,87.6,16
2/4/2022,7:00,543,540,20.59,23.48,100.91,19
2/4/2022,8:00,674,673,20.85,23.01,92,33
2/4/2022,9:00,896,894,20.17,23.27,98.36,18
2/4/2022,10:00,1140,1144,19.62,24.5,92.55,22
2/4/2022,11:00,1401,1393,19.95,25.02,107.37,23
2/4/2022,12:00,1559,1556,20.04,27,108.88,23
2/4/2022,13:00,1824,1822,20.33,26.79,112.75,23
2/4/2022,14:00,1969,1976,20.3,27,103.1,29
2/4/2022,15:00,2024,2018,21.06,23.92,111.31,42
2/4/2022,16:00,2075,2076,20.92,24.4,98.21,40
2/4/2022,17:00,1945,1944,19.7,25.05,94.08,33
2/4/2022,18:00,1825,1826,21.24,25.31,109.39,46
2/4/2022,19:00,2182,2175,20.41,24.02,100.69,46
2/4/2022,20:00,2266,2261,20.84,24.55,97.33,40
2/4/2022,21:00,2373,2375,21.35,26.04,106.61,40
2/4/2022,22:00,2459,2471,20.63,26.21,101.12,38
2/4/2022,23:00,2640,2632,19.89,26.24,98.33,46
2/5/2022,0:00,2637,2638,19.7,23.81,95,48
2/5/2022,1:00,2501,2501,20.08,24.35,105.39,40
2/5/2022,2:00,2408,2404,20.76,25.24,98.13,39
2/5/2022,3:00,2044,2038,19.7,44.09,161.95,32
2/5/2022,4:00,1531,1545,20.23,51.82,159.35,17
2/5/2022,5:00,1234,1244,20.28,58.78,160.57,17
2/5/2022,6:00,802,801,20.98,25.28,114.08,17
2/5/2022,7:00,628,628,20.39,23.08,93.64,19
2/5/2022,8:00,619,625,19.93,21.64,99.17,33
2/5/2022,9:00,992,980,19.05,22.93,89.17,17
2/5/2022,10:00,1279,1284,19.17,24.39,98.25,18
2/5/2022,11:00,1537,1533,19.28,24.84,90.83,22
2/5/2022,12:00,1709,1706,18.98,27.61,109.45,22
2/5/2022,13:00,1706,1705,19.55,25.58,103.54,21
2/5/2022,14:00,1901,1905,19.22,25.56,110.47,31
2/5/2022,15:00,2027,2011,20.18,24.13,101.68,41
2/5/2022,16:00,2040,2058,20.36,23.06,99.92,41
2/5/2022,17:00,2040,2028,19.88,24.43,92.86,37
2/5/2022,18:00,2134,2129,20.14,26.21,121.75,43
2/5/2022,19:00,1925,1939,20.85,24.11,105.81,43
2/5/2022,20:00,2143,2140,20.84,25.09,115.1,37
2/5/2022,21:00,2117,2102,20.32,23.68,106.78,36
2/5/2022,22:00,2291,2308,19.82,24.62,96.85,37
2/5/2022,23:00,2431,2426,20.67,24.94,118.82,43
2/6/2022,0:00,2576,2574,20.03,23.95,95.44,44
2/6/2022,1:00,2550,2548,19.79,25.74,101.53,32
2/6/2022,2:00,2248,2246,19.5,24.75,102.77,30
2/6/2022,3:00,1902,1880,19.77,155.74,520.5,20
2/6/2022,4:00,1522,1494,20.08,120.95,318.06,13
2/6/2022,5:00,1205,1269,20.4,251.7,503.16,12
2/6/2022,6:00,846,852,21.78,29.18,98.27,13
2/6/2022,7:00,587,583,20.45,33.99,135.33,22
2/6/2022,8:00,628,632,19.73,21.53,86.33,30
2/6/2022,9:00,872,875,18.89,23.06,98.8,15
2/6/2022,10:00,1122,1120,19.38,24.08,94.57,18
2/6/2022,11:00,1354,1342,19.09,22.91,90.9,21
2/6/2022,12:00,1520,1520,19.52,26.95,101.56,21
2/6/2022,13:00,1836,1845,19.17,26.14,97,21
2/6/2022,14:00,1934,1926,20.29,26.67,103.71,34
2/6/2022,15:00,1952,1953,20.04,22.78,88.67,39
2/6/2022,16:00,1990,1989,19.82,22.73,103.56,37
2/6/2022,17:00,1880,1887,20.5,27.55,118.36,31
2/6/2022,18:00,1852,1842,20.5,25.03,105.42,42
2/6/2022,19:00,2027,2026,20.63,24.14,93.91,42
2/6/2022,20:00,2164,2168,20.77,24.51,98.06,39
2/6/2022,21:00,2124,2114,20.67,24.78,124.38,33
2/6/2022,22:00,2297,2308,20.48,28.05,105.95,33
2/6/2022,23:00,2286,2285,20.63,26.06,109.31,40
2/7/2022,0:00,2314,2316,19.79,23.56,97.72,45
2/7/2022,1:00,2124,2123,19.76,24.33,89.86,34
2/7/2022,2:00,1872,1875,20.31,23.49,91.96,34
2/7/2022,3:00,1594,1590,20.42,28.67,106.29,25
2/7/2022,4:00,1427,1377,20.97,67.12,206.78,16
2/7/2022,5:00,884,938,19.65,86.03,345.75,15
2/7/2022,6:00,651,656,22.05,25.24,85.73,15
2/7/2022,7:00,593,592,22.76,25.59,89,23
2/7/2022,8:00,704,700,20.7,25.01,94.54,32
2/7/2022,9:00,1082,1083,19.6,28.43,96.31,14
2/7/2022,10:00,1277,1271,19.26,34.64,117.62,19
2/7/2022,11:00,1408,1413,19.9,31.95,159.92,21
2/7/2022,12:00,1477,1476,19.58,30.22,103.75,21
2/7/2022,13:00,1582,1575,19.97,27.01,120.15,21
2/7/2022,14:00,1814,1816,20.81,31.97,120.96,27
2/7/2022,15:00,1939,1928,20.76,24.42,104.89,37
2/7/2022,16:00,1850,1859,21.28,24.62,102.17,36
2/7/2022,17:00,2042,2041,20.48,28.03,104.27,30
2/7/2022,18:00,1905,1902,20.1,24.35,108.42,44
2/7/2022,19:00,1992,2000,20.44,23.92,89.58,44
2/7/2022,20:00,2170,2165,20.32,23.81,96.4,43
2/7/2022,21:00,2196,2189,20.97,24.38,102.73,37
2/7/2022,22:00,2148,2148,20.25,24.94,104.38,37
2/7/2022,23:00,1903,1919,19.98,23.15,101.18,44
2/8/2022,0:00,2072,2064,20.17,23.33,104.29,50
2/8/2022,1:00,1979,1987,19.86,24.67,96.53,38
2/8/2022,2:00,1612,1611,20.82,23.51,90.42,37
2/8/2022,3:00,1312,1306,20.55,27.77,106.68,28
2/8/2022,4:00,1021,1032,21.9,28.2,107.27,17
2/8/2022,5:00,774,767,21.15,27.68,101.79,17
2/8/2022,6:00,566,576,21.27,24.2,104.8,17
2/8/2022,7:00,460,464,22.25,23.65,106.17,27
2/8/2022,8:00,677,670,21.07,23.73,123.27,34
2/8/2022,9:00,939,941,20.89,25.72,117.92,16
2/8/2022,10:00,1119,1112,20.58,25.88,113.08,18
2/8/2022,11:00,1365,1359,21.25,26.73,110.44,23
2/8/2022,12:00,1408,1413,20.38,28.19,114,23
2/8/2022,13:00,1579,1572,20.37,27.31,110.95,23
2/8/2022,14:00,1603,1607,20.45,25.47,102.78,34
2/8/2022,15:00,1737,1733,21.26,24.45,98.59,44
2/8/2022,16:00,1977,1977,21.06,24.87,107.22,42
2/8/2022,17:00,1944,1950,20.4,24.99,96.64,37
2/8/2022,18:00,1822,1812,20.85,24.73,98.48,48
2/8/2022,19:00,2010,2015,20.65,25.22,97.4,46
2/8/2022,20:00,2028,2032,21.01,24.78,98.25,42
2/8/2022,21:00,2069,2065,20.83,24.3,116.4,39
2/8/2022,22:00,1980,1985,19.89,23.23,98.5,38
2/8/2022,23:00,1985,1981,20.52,23.44,90.7,48
2/9/2022,0:00,2097,2101,20.74,23.59,97.9,46
2/9/2022,1:00,1856,1862,20.66,23.55,92.07,40
2/9/2022,2:00,1610,1604,20.42,22.84,95.24,39
2/9/2022,3:00,1282,1281,19.59,26.51,105.59,29
2/9/2022,4:00,1100,1104,20.76,29.33,114.37,18
2/9/2022,5:00,820,829,20.42,25.35,108.91,18
2/9/2022,6:00,574,571,20.14,22.18,94.1,18
2/9/2022,7:00,448,451,20.82,22.98,94,26
2/9/2022,8:00,651,649,21.19,23.21,84.78,34
2/9/2022,9:00,1096,1094,20.21,26.6,111.14,15
2/9/2022,10:00,1270,1264,19.77,26.29,96.05,18
